Model,Letter,Stance,Includes_1_mean,Includes_1_standard_error,Includes_1_bonferroni_mean,Includes_1_bonferroni_standard_error,Mean_mean,Mean_standard_error,Success_rate_mean,Success_rate_standard_error
gpt_4o_mini,A,Agree strongly,0.1071428571428571,0.0293569620188138,0.2232142857142857,0.0395230196770251,0.9329765556450764,0.0205926250220581,0.9325892857142858,0.0206793195956748
gpt_4o_mini,B,Agree,0.0,0.0,0.0,0.0,0.1077177917612334,0.0157130062105247,0.0639285714285714,0.0107207723821875
gpt_4o_mini,C,Neutral,0.25,0.0410997468263393,0.4017857142857143,0.0465333314697364,0.7168317719992328,0.026299599583549,0.6690178571428571,0.0272899017196099
gpt_4o_mini,D,Disagree,0.0714285714285714,0.0244445558728733,0.1160714285714285,0.0304025324989497,0.3096025321174575,0.0348111740531069,0.2357142857142857,0.0317873591464851
gpt_4o_mini,E,Disagree strongly,0.375,0.0459509138808629,0.5357142857142857,0.0473366789005375,0.78368651207661,0.0316571344967406,0.7309821428571429,0.0346245164584918
llama4_maverick,A,Agree strongly,0.3396226415094339,0.065673888805508,0.5849056603773585,0.0683305074388002,0.7816036465384316,0.0411397686446747,0.7088679245283019,0.0463325992323173
llama4_maverick,B,Agree,0.3584905660377358,0.0665026141909068,0.4716981132075472,0.0692263571420134,0.7620216216277482,0.0397870465238854,0.6928301886792453,0.0435418299442928
llama4_maverick,C,Neutral,0.4150943396226415,0.0683305074388002,0.5471698113207547,0.0690282841834201,0.70203410513717,0.0477584342443924,0.7201886792452831,0.0441657803212119
llama4_maverick,D,Disagree,0.3773584905660377,0.0672193682258891,0.4150943396226415,0.0683305074388002,0.5765580637450749,0.0573501862410965,0.5664150943396227,0.057702187176114
llama4_maverick,E,Disagree strongly,0.3962264150943396,0.0678277006998428,0.4339622641509434,0.0687301044560323,0.5638818433461324,0.0607772525886217,0.5390566037735849,0.061100968182514
gpt_3_5_turbo,A,Agree strongly,0.0,0.0,0.0,0.0,0.6209694235489928,0.0312770101133371,0.3027678571428572,0.0356081585587233
gpt_3_5_turbo,B,Agree,0.0178571428571428,0.01256990016449,0.0446428571428571,0.0196018643278118,0.4835175718798265,0.0314507785995633,0.2578571428571428,0.0283636265600534
gpt_3_5_turbo,C,Neutral,0.0,0.0,0.0178571428571428,0.01256990016449,0.3134231343740766,0.0229227530635448,0.2128571428571428,0.0185083325748494
